"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"7858","XP_012240650.1","BIMP14283",105680727,"LOC105680727","uncharacterized protein LOC105680727"
"7859","XP_012240652.1","BIMP14424",100744612,"LOC100744612","pro-resilin-like isoform X1"
"7860","XP_012240653.1","BIMP14424",100744612,"LOC100744612","pro-resilin-like isoform X1"
"7861","XP_012240659.1","BIMP14393",100749642,"LOC100749642","transmembrane protein 26"
"7862","XP_012240661.1","BIMP14317",100741341,"LOC100741341","plasma membrane calcium-transporting ATPase 2 isoform X3"
"7863","XP_012240661.1","BIMP14318",100741341,"LOC100741341","plasma membrane calcium-transporting ATPase 2 isoform X3"
"7864","XP_012240673.1","BIMP14321",100740743,"LOC100740743","histone PARylation factor 1 isoform X1"
"7865","XP_012240675.1","BIMP24737",100749581,"LOC100749581","cleavage and polyadenylation specificity factor subunit CG7185 isoform X14"
"7866","XP_012240677.1","BIMP14320",100741103,"LOC100741103","NADH dehydrogenase"
"7867","XP_012240678.1","BIMP14373",100745737,"LOC100745737","cytospin-A isoform X1"
"7868","XP_012240679.1","BIMP14373",100745737,"LOC100745737","cytospin-A isoform X2"
"7869","XP_012240680.1","BIMP14373",100745737,"LOC100745737","cytospin-A isoform X3"
"7870","XP_012240683.1","BIMP14373",100745737,"LOC100745737","cytospin-A isoform X5"
"7871","XP_012240684.1","BIMP14373",100745737,"LOC100745737","cytospin-A isoform X6"
"7872","XP_012240685.1","BIMP14304",100746301,"LOC100746301","cytosolic 10-formyltetrahydrofolate dehydrogenase"
"7873","XP_012240686.1","BIMP14303",105680728,"LOC105680728","protein Red"
"7874","XP_012240687.1","BIMP14303",105680728,"LOC105680728","protein Red"
"7875","XP_012240688.1","BIMP14305",100745859,"LOC100745859","histone deacetylase 3 isoform X1"
"7876","XP_012240689.1","BIMP14305",100745859,"LOC100745859","histone deacetylase 3 isoform X2"
"7877","XP_012240690.1","BIMP24737",100749581,"LOC100749581","cleavage and polyadenylation specificity factor subunit CG7185 isoform X15"
"7878","XP_012240691.1","BIMP14302",100746497,"LOC100746497","N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase"
"7879","XP_012240692.1","BIMP14374",105680729,"LOC105680729","uncharacterized protein LOC105680729 isoform X1"
"7880","XP_012240693.1","BIMP15878",105680206,"LOC105680206","uncharacterized protein LOC105680206"
"7881","XP_012240694.1","BIMP14374",105680729,"LOC105680729","uncharacterized protein LOC105680729 isoform X1"
"7882","XP_012240695.1","BIMP14374",105680729,"LOC105680729","uncharacterized protein LOC105680729 isoform X2"
"7883","XP_012240696.1","BIMP14374",105680729,"LOC105680729","uncharacterized protein LOC105680729 isoform X2"
"7884","XP_012240697.1","BIMP14260",100745294,"LOC100745294","uncharacterized protein LOC100745294 isoform X2"
"7885","XP_012240699.1","BIMP14261",100745096,"LOC100745096","dynamin-like 120 kDa protein, mitochondrial isoform X1"
"7886","XP_012240700.1","BIMP14261",100745096,"LOC100745096","dynamin-like 120 kDa protein, mitochondrial isoform X3"
"7887","XP_012240701.1","BIMP14261",100745096,"LOC100745096","dynamin-like 120 kDa protein, mitochondrial isoform X5"
"7888","XP_012240702.1","BIMP14261",100745096,"LOC100745096","dynamin-like 120 kDa protein, mitochondrial isoform X6"
"7889","XP_012240706.1","BIMP14262",100744850,"LOC100744850","zinc finger protein 354A isoform X1"
"7890","XP_012240709.1","BIMP14426",100744971,"LOC100744971","transmembrane protein 184C"
"7891","XP_012240711.1","BIMP14255",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X2"
"7892","XP_012240711.1","BIMP14256",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X2"
"7893","XP_012240711.1","BIMP14254",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X2"
"7894","XP_012240711.1","BIMP14252",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X2"
"7895","XP_012240713.1","BIMP14254",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X5"
"7896","XP_012240713.1","BIMP14256",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X5"
"7897","XP_012240713.1","BIMP14255",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X5"
"7898","XP_012240713.1","BIMP14252",100745535,"LOC100745535","uncharacterized protein LOC100745535 isoform X5"
"7899","XP_012240714.1","BIMP14429",100745738,"LOC100745738","chitinase-like protein Idgf4 isoform X2"
"7900","XP_012240715.1","BIMP14257",105680730,"LOC105680730","uncharacterized protein LOC105680730"
"7901","XP_012240718.1","BIMP14392",100749087,"LOC100749087","serine/threonine-protein kinase OSR1 isoform X1"
"7902","XP_012240722.1","BIMP14392",100749087,"LOC100749087","serine/threonine-protein kinase OSR1 isoform X2"
"7903","XP_012240723.1","BIMP14287",100748847,"LOC100748847","sodium-coupled monocarboxylate transporter 1"
"7904","XP_012240727.1","BIMP14285",105680731,"LOC105680731","putative sodium-dependent multivitamin transporter"
"7905","XP_012240728.1","BIMP14285",105680731,"LOC105680731","putative sodium-dependent multivitamin transporter"
"7906","XP_012240729.1","BIMP13804",100744191,"LOC100744191","jouberin-like isoform X1"
"7907","XP_012240731.1","BIMP14284",100749322,"LOC100749322","uncharacterized protein LOC100749322 isoform X1"
"7908","XP_012240732.1","BIMP24737",100749581,"LOC100749581","cleavage and polyadenylation specificity factor subunit CG7185 isoform X16"
"7909","XP_012240733.1","BIMP14284",100749322,"LOC100749322","uncharacterized protein LOC100749322 isoform X2"
"7910","XP_012240734.1","BIMP14284",100749322,"LOC100749322","uncharacterized protein LOC100749322 isoform X3"
"7911","XP_012240735.1","BIMP14249",100746182,"LOC100746182","sterol regulatory element-binding protein cleavage-activating protein"
"7912","XP_012240736.1","BIMP14249",100746182,"LOC100746182","sterol regulatory element-binding protein cleavage-activating protein"
"7913","XP_012240738.1","BIMP14251",100745940,"LOC100745940","ras-related protein Rab-3 isoform X2"
"7914","XP_012240739.1","BIMP14251",100745940,"LOC100745940","ras-related protein Rab-3 isoform X3"
"7915","XP_012240740.1","BIMP14251",100745940,"LOC100745940","ras-related protein Rab-3 isoform X4"
"7916","XP_012240742.1","BIMP14281",100749763,"LOC100749763","uncharacterized protein LOC100749763"
"7917","XP_012240742.1","BIMP14278",100749763,"LOC100749763","uncharacterized protein LOC100749763"
"7918","XP_012240744.1","BIMP14359",100741906,"LOC100741906","lysoplasmalogenase-like protein TMEM86A isoform X1"
"7919","XP_012240749.1","BIMP14326",100749643,"LOC100749643","calnexin isoform X3"
"7920","XP_012240750.1","BIMP14326",100749643,"LOC100749643","calnexin isoform X3"
"7921","XP_012240751.1","BIMP14351",100742627,"LOC100742627","RWD domain-containing protein 2A"
"7922","XP_012240752.1","BIMP14329",100746417,"LOC100746417","40S ribosomal protein S2 isoform X1"
"7923","XP_012240759.1","BIMP24736",100744277,"LOC100744277","mucin-1 isoform X2"
"7924","XP_012240760.1","BIMP14396",100750120,"LOC100750120","NADH dehydrogenase"
"7925","XP_012240763.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X1"
"7926","XP_012240764.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X2"
"7927","XP_012240765.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X3"
"7928","XP_012240766.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X4"
"7929","XP_012240768.1","BIMP24736",100744277,"LOC100744277","mucin-1 isoform X3"
"7930","XP_012240770.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X7"
"7931","XP_012240772.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X10"
"7932","XP_012240773.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X12"
"7933","XP_012240775.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X14"
"7934","XP_012240776.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X15"
"7935","XP_012240777.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X16"
"7936","XP_012240778.1","BIMP14315",100746890,"LOC100746890","phosphatidylinositol-binding clathrin assembly protein LAP isoform X17"
"7937","XP_012240779.1","BIMP14368",100742717,"LOC100742717","midnolin homolog isoform X1"
"7938","XP_012240780.1","BIMP14309",100745050,"LOC100745050","E3 ubiquitin-protein ligase MIB2"
"7939","XP_012240781.1","BIMP14415",100743436,"LOC100743436","intraflagellar transport protein 172 homolog"
"7940","XP_012240783.1","BIMP14384",100747890,"LOC100747890","ATP-binding cassette sub-family F member 2 isoform X2"
"7941","XP_012240784.1","BIMP14296",100747849,"LOC100747849","ribonuclease H2 subunit A isoform X2"
"7942","XP_012240788.1","BIMP14295",100747644,"LOC100747644","gem-associated protein 2"
"7943","XP_012240789.1","BIMP15874",100746796,"LOC100746796","general odorant-binding protein 56d-like"
"7944","XP_012240790.1","BIMP14410",100742979,"LOC100742979","AN1-type zinc finger protein 5"
"7945","XP_012240791.1","BIMP14410",100742979,"LOC100742979","AN1-type zinc finger protein 5"
"7946","XP_012240792.1","BIMP14410",100742979,"LOC100742979","AN1-type zinc finger protein 5"
"7947","XP_012240793.1","BIMP14410",100742979,"LOC100742979","AN1-type zinc finger protein 5"
"7948","XP_012240801.1","BIMP14264",100743791,"LOC100743791","alanine aminotransferase 1"
"7949","XP_012240802.1","BIMP14264",100743791,"LOC100743791","alanine aminotransferase 1"
"7950","XP_012240803.1","BIMP14379",100747605,"LOC100747605","doublesex- and mab-3-related transcription factor A2-like"
"7951","XP_012240804.1","BIMP14298",105680734,"LOC105680734","nucleoporin Nup35"
"7952","XP_012240806.1","BIMP14378",100746972,"LOC100746972","GTP-binding protein Di-Ras2"
"7953","XP_012240808.1","BIMP14268",100742263,"LOC100742263","solute carrier family 25 member 40"
"7954","XP_012240809.1","BIMP14408",100742386,"LOC100742386","ras-related protein Rab-11A"
"7955","XP_012240810.1","BIMP14408",100742386,"LOC100742386","ras-related protein Rab-11A"
"7956","XP_012240811.1","BIMP14364",100742833,"LOC100742833","uncharacterized protein LOC100742833 isoform X2"
"7957","XP_012240812.1","BIMP14365",100742833,"LOC100742833","TAR DNA-binding protein 43 isoform X3"
"7958","XP_012240812.1","BIMP14364",100742833,"LOC100742833","TAR DNA-binding protein 43 isoform X3"
"7959","XP_012240813.1","BIMP14364",100742833,"LOC100742833","TAR DNA-binding protein 43 isoform X4"
"7960","XP_012240813.1","BIMP14365",100742833,"LOC100742833","TAR DNA-binding protein 43 isoform X4"
"7961","XP_012240814.1","BIMP14369",100745170,"LOC100745170","uncharacterized protein LOC100745170 isoform X1"
"7962","XP_012240815.1","BIMP14370",105680736,"LOC105680736","neurogenic locus notch homolog protein 1"
"7963","XP_012240816.1","BIMP14291",100748488,"LOC100748488","protein brambleberry"
"7964","XP_012240817.1","BIMP14293",100748252,"LOC100748252","uncharacterized protein LOC100748252 isoform X1"
"7965","XP_012240819.1","BIMP14293",100748252,"LOC100748252","heart- and neural crest derivatives-expressed protein 1 isoform X2"
"7966","XP_012240820.1","BIMP24721",100749462,"LOC100749462","nucleosome assembly protein 1-like 1 isoform X2"
"7967","XP_012240821.1","BIMP14403",100741340,"LOC100741340","aftiphilin isoform X2"
"7968","XP_012240823.1","BIMP14401",100741102,"LOC100741102","spindle and kinetochore-associated protein 1 isoform X1"
"7969","XP_012240824.1","BIMP14401",100741102,"LOC100741102","spindle and kinetochore-associated protein 1 isoform X1"
"7970","XP_012240825.1","BIMP24721",100749462,"LOC100749462","nucleosome assembly protein 1-like 1 isoform X3"
"7971","XP_012240826.1","BIMP14353",100749764,"LOC100749764","brain tumor protein-like"
"7972","XP_012240827.1","BIMP14353",100749764,"LOC100749764","brain tumor protein-like"
"7973","XP_012240828.1","BIMP14406",100742023,"LOC100742023","transcriptional adapter 3-A"
"7974","XP_012240830.1","BIMP14335",100742024,"LOC100742024","probable cationic amino acid transporter isoform X2"
"7975","XP_012240830.1","BIMP14336",100742024,"LOC100742024","probable cationic amino acid transporter isoform X2"
"7976","XP_012240831.1","BIMP14335",100742024,"LOC100742024","probable cationic amino acid transporter isoform X2"
"7977","XP_012240831.1","BIMP14336",100742024,"LOC100742024","probable cationic amino acid transporter isoform X2"
"7978","XP_012240832.1","BIMP14316",100741462,"LOC100741462","xanthine dehydrogenase/oxidase isoform X2"
"7979","XP_012240834.1","BIMP14347",105680741,"LOC105680741","thymidylate synthase isoform X1"
"7980","XP_012240835.1","BIMP14347",105680741,"LOC105680741","thymidylate synthase isoform X1"
"7981","XP_012240836.1","BIMP14346",100747207,"LOC100747207","toll-interacting protein"
"7982","XP_012240837.1","BIMP14331",100749442,"LOC100749442","protein ILRUN"
"7983","XP_012240838.1","BIMP14344",100749883,"LOC100749883","parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X1"
"7984","XP_012240839.1","BIMP14344",100749883,"LOC100749883","parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X2"
"7985","XP_012240844.1","BIMP14275",100740262,"LOC100740262","beta-1,3-galactosyltransferase 6 isoform X2"
"7986","XP_012240845.1","BIMP14266",100748931,"LOC100748931","peregrin isoform X2"
"7987","XP_012240846.1","BIMP24695",100743409,"LOC100743409","eukaryotic translation initiation factor 4 gamma 2 isoform X2"
"7988","XP_012240847.1","BIMP14310",100742473,"LOC100742473","DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1"
"7989","XP_012240848.1","BIMP14310",100742473,"LOC100742473","DNA replication ATP-dependent helicase/nuclease DNA2 isoform X3"
"7990","XP_012240849.1","BIMP14310",100742473,"LOC100742473","DNA replication ATP-dependent helicase/nuclease DNA2 isoform X4"
"7991","XP_012240850.1","BIMP14405",100741788,"LOC100741788","merlin isoform X3"
"7992","XP_012240853.1","BIMP14405",100741788,"LOC100741788","merlin isoform X5"
"7993","XP_012240854.1","BIMP14270",100748695,"LOC100748695","peroxisome assembly protein 12 isoform X1"
"7994","XP_012240855.1","BIMP14333",100744930,"LOC100744930","twinfilin isoform X3"
"7995","XP_012240856.1","BIMP14301",100746733,"LOC100746733","probable ATP-dependent RNA helicase kurz isoform X1"
"7996","XP_012240857.1","BIMP14301",100746733,"LOC100746733","probable ATP-dependent RNA helicase kurz isoform X2"
"7997","XP_012240858.1","BIMP14306",100745615,"LOC100745615","slit homolog 3 protein isoform X1"
"7998","XP_012240859.1","BIMP14306",100745615,"LOC100745615","slit homolog 3 protein isoform X1"
"7999","XP_012240861.1","BIMP14306",100745615,"LOC100745615","slit homolog 3 protein isoform X1"
"8000","XP_012240863.1","BIMP15877",100747149,"LOC100747149","general odorant-binding protein 19d"
"8001","XP_012240864.1","BIMP14306",100745615,"LOC100745615","protein slit isoform X2"
"8002","XP_012240865.1","BIMP14306",100745615,"LOC100745615","protein slit isoform X2"
"8003","XP_012240866.1","BIMP14422",100749292,"LOC100749292","N66 matrix protein isoform X1"
"8004","XP_012240867.1","BIMP24700",100742166,"LOC100742166","TBC1 domain family member 23"
"8005","XP_012240868.1","BIMP14422",100749292,"LOC100749292","N66 matrix protein isoform X4"
"8006","XP_012240870.1","BIMP14367",100742596,"LOC100742596","ATP-binding cassette sub-family D member 3"
"8007","XP_012240871.1","BIMP14412",100742864,"LOC100742864","adenomatous polyposis coli protein isoform X2"
"8008","XP_012240872.1","BIMP14400",100748336,"LOC100748336","mpv17-like protein 2"
"8009","XP_012240873.1","BIMP14273",100740865,"LOC100740865","uncharacterized protein LOC100740865 isoform X2"
"8010","XP_012240876.1","BIMP14416",100743671,"LOC100743671","brain protein I3 isoform X2"
"8011","XP_012240877.1","BIMP24748",100745115,"LOC100745115","E3 ubiquitin-protein ligase RNF14 isoform X1"
"8012","XP_012240878.1","BIMP14340",100742748,"LOC100742748","thymic stromal cotransporter homolog isoform X1"
"8013","XP_012240879.1","BIMP14340",100742748,"LOC100742748","thymic stromal cotransporter homolog isoform X1"
"8014","XP_012240881.1","BIMP14297",100747727,"LOC100747727","uncharacterized protein LOC100747727 isoform X1"
"8015","XP_012240882.1","BIMP14297",100747727,"LOC100747727","uncharacterized protein LOC100747727 isoform X2"
"8016","XP_012240883.1","BIMP14297",100747727,"LOC100747727","cell adhesion molecule 2 isoform X3"
"8017","XP_012240885.1","BIMP14343",100746302,"LOC100746302","uncharacterized protein LOC100746302 isoform X2"
"8018","XP_012240886.1","BIMP14323",100740504,"LOC100740504","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase isoform X2"
"8019","XP_012240887.1","BIMP14323",100740504,"LOC100740504","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase isoform X4"
"8020","XP_012240890.1","BIMP13882",105680743,"LOC105680743","uncharacterized protein LOC105680743"
"8021","XP_012240899.1","BIMP13896",100747645,"LOC100747645","protein retinal degeneration B isoform X1"
"8022","XP_012240900.1","BIMP13896",100747645,"LOC100747645","protein retinal degeneration B isoform X3"
"8023","XP_012240901.1","BIMP13896",100747645,"LOC100747645","protein retinal degeneration B isoform X4"
"8024","XP_012240902.1","BIMP20443",100747645,"LOC100747645","protein retinal degeneration B isoform X5"
"8025","XP_012240903.1","BIMP14387",100747645,"LOC100747645","protein retinal degeneration B isoform X6"
"8026","XP_012240905.1","BIMP13892",100747891,"LOC100747891","unconventional myosin IC isoform X1"
"8027","XP_012240906.1","BIMP13892",100747891,"LOC100747891","unconventional myosin IC isoform X2"
"8028","XP_012240907.1","BIMP13892",100747891,"LOC100747891","unconventional myosin IC isoform X3"
"8029","XP_012240908.1","BIMP13935",100741699,"LOC100741699","serine/arginine repetitive matrix protein 2 isoform X3"
"8030","XP_012240909.1","BIMP13935",100741699,"LOC100741699","serine/arginine repetitive matrix protein 2 isoform X4"
"8031","XP_012240912.1","BIMP13933",100741019,"LOC100741019","protein WBSCR14 homolog isoform X2"
"8032","XP_012240921.1","BIMP13895",100747768,"LOC100747768","uncharacterized protein LOC100747768 isoform X2"
"8033","XP_012240922.1","BIMP24699",100742492,"LOC100742492","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase isoform X2"
"8034","XP_012240923.1","BIMP13895",100747768,"LOC100747768","uncharacterized protein LOC100747768 isoform X4"
"8035","XP_012240924.1","BIMP13934",100741463,"LOC100741463","contactin-2 isoform X1"
"8036","XP_012240928.1","BIMP13894",100741581,"LOC100741581","exosome complex component RRP40 isoform X1"
"8037","XP_012240930.1","BIMP13936",100741940,"LOC100741940","uncharacterized protein LOC100741940"
"8038","XP_012240931.1","BIMP13885",100743624,"LOC100743624","DNA-directed RNA polymerase II subunit RPB11 isoform X2"
"8039","XP_012240932.1","BIMP13923",100749799,"LOC100749799","40S ribosomal protein S21"
"8040","XP_012240933.1","BIMP24741",100740365,"LOC100740365","la-related protein 1B isoform X3"
"8041","XP_012240934.1","BIMP13887",100748609,"LOC100748609","histone H3.3-like isoform X3"
"8042","XP_012240936.1","BIMP13902",100740416,"LOC100740416","ATP-binding cassette sub-family C member Sur isoform X2"
"8043","XP_012240937.1","BIMP13905",100740291,"LOC100740291","gastrula zinc finger protein xFG20-1-like"
"8044","XP_012240938.1","BIMP13903",105680747,"LOC105680747","cGMP-dependent protein kinase 1 isoform X1"
"8045","XP_012240939.1","BIMP13903",105680747,"LOC105680747","cGMP-dependent protein kinase, isozyme 1 isoform X3"
"8046","XP_012240940.1","BIMP13903",105680747,"LOC105680747","cGMP-dependent protein kinase, isozyme 1 isoform X3"
"8047","XP_012240943.1","BIMP13913",100743379,"LOC100743379","trafficking protein particle complex subunit 11 isoform X1"
"8048","XP_012240945.1","BIMP13915",105680748,"LOC105680748","AH receptor-interacting protein"
"8049","XP_012240946.1","BIMP13920",100741342,"LOC100741342","probable serine hydrolase isoform X2"
"8050","XP_012240950.1","BIMP13922",100745980,"LOC100745980","condensin-2 complex subunit D3-like isoform X2"
"8051","XP_012240951.1","BIMP24713",100740484,"LOC100740484","PBAN-type neuropeptides-like isoform X1"
"8052","XP_012240953.1","BIMP13911",100747052,"LOC100747052","syntaxin isoform X1"
"8053","XP_012240959.1","BIMP13873",100745496,"LOC100745496","serine/threonine-protein kinase GD17699 isoform X2"
"8054","XP_012240970.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X1"
"8055","XP_012240971.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X2"
"8056","XP_012240972.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X4"
"8057","XP_012240973.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X5"
"8058","XP_012240974.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X6"
"8059","XP_012240975.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X7"
"8060","XP_012240976.1","BIMP13949",100743500,"LOC100743500","restin homolog isoform X7"
"8061","XP_012240977.1","BIMP13886",100748729,"LOC100748729","myeloid differentiation primary response protein MyD88"
"8062","XP_012240979.1","BIMP13948",100748489,"LOC100748489","sterile alpha and TIR motif-containing protein 1 isoform X1"
"8063","XP_012240984.1","BIMP13095",100748368,"LOC100748368","uncharacterized protein LOC100748368"
"8064","XP_012240986.1","BIMP13954",105680751,"LOC105680751","probable DNA replication complex GINS protein PSF2"
"8065","XP_012240989.1","BIMP24692",100743843,"LOC100743843","teneurin-a isoform X1"
"8066","XP_012240993.1","BIMP13883",100744208,"LOC100744208","TNF receptor-associated factor 4 isoform X2"
"8067","XP_012240994.1","BIMP13883",100744208,"LOC100744208","TNF receptor-associated factor 4 isoform X2"
"8068","XP_012240996.1","BIMP24692",100743843,"LOC100743843","teneurin-a isoform X2"
"8069","XP_012240997.1","BIMP13881",100744656,"LOC100744656","RWD domain-containing protein 4"
"8070","XP_012240999.1","BIMP13927",100750035,"LOC100750035","tyrosine decarboxylase-like"
"8071","XP_012241000.1","BIMP13927",100750035,"LOC100750035","tyrosine decarboxylase-like"
"8072","XP_012241003.1","BIMP13952",100744091,"LOC100744091","sphingomyelin phosphodiesterase 4 isoform X2"
"8073","XP_012241004.1","BIMP24692",100743843,"LOC100743843","teneurin-a isoform X3"
"8074","XP_012241005.1","BIMP13943",100743103,"LOC100743103","ubiquitin-protein ligase E3B isoform X1"
"8075","XP_012241006.1","BIMP13943",100743103,"LOC100743103","ubiquitin-protein ligase E3B isoform X2"
"8076","XP_012241007.1","BIMP13939",100748010,"LOC100748010","DNA ligase 1 isoform X1"
"8077","XP_012241008.1","BIMP13939",100748010,"LOC100748010","DNA ligase 1 isoform X2"
"8078","XP_012241011.1","BIMP13867",100746339,"LOC100746339","TWiK family of potassium channels protein 7-like"
"8079","XP_012241011.1","BIMP14713",100746339,"LOC100746339","TWiK family of potassium channels protein 7-like"
"8080","XP_012241014.1","BIMP13941",100742749,"LOC100742749","E3 ubiquitin-protein ligase RNF185"
"8081","XP_012241018.1","BIMP24693",100743961,"LOC100743961","DNA polymerase delta catalytic subunit isoform X1"
"8082","XP_012241020.1","BIMP13916",100740537,"LOC100740537","protein pelota"
"8083","XP_012241022.1","BIMP13880",100744772,"LOC100744772","protein rhomboid"
"8084","XP_012241026.1","BIMP13961",100745256,"LOC100745256","pre-mRNA-splicing factor 38B isoform X2"
"8085","XP_012241027.1","BIMP13961",100745256,"LOC100745256","pre-mRNA-splicing factor 38B isoform X3"
"8086","XP_012241028.1","BIMP13961",100745256,"LOC100745256","pre-mRNA-splicing factor 38B isoform X5"
"8087","XP_012241029.1","BIMP13961",100745256,"LOC100745256","pre-mRNA-splicing factor 38B isoform X6"
"8088","XP_012241031.1","BIMP13870",100746099,"LOC100746099","dual specificity protein phosphatase MPK-4 isoform X2"
"8089","XP_012241032.1","BIMP13924",105680752,"LOC105680752","acyl carrier protein, mitochondrial isoform X1"
"8090","XP_012241033.1","BIMP13924",105680752,"LOC105680752","uncharacterized protein LOC105680752 isoform X2"
"8091","XP_012241038.1","BIMP24725",105680753,"LOC105680753","protein SMG5"
"8092","XP_012241039.1","BIMP20168",100743466,"LOC100743466","uncharacterized protein LOC100743466 isoform X1"
"8093","XP_012241040.1","BIMP20168",100743466,"LOC100743466","three-prime repair exonuclease 1 isoform X2"
"8094","XP_012241044.1","BIMP24724",100748909,"LOC100748909","lon protease homolog, mitochondrial isoform X1"
"8095","XP_012241045.1","BIMP17853",100746698,"LOC100746698","titin homolog"
"8096","XP_012241046.1","BIMP17880",100746819,"LOC100746819","SAP domain-containing ribonucleoprotein isoform X2"
"8097","XP_012241047.1","BIMP17885",100740340,"LOC100740340","uncharacterized protein LOC100740340 isoform X1"
"8098","XP_012241048.1","BIMP17885",100740340,"LOC100740340","uncharacterized protein LOC100740340 isoform X1"
"8099","XP_012241049.1","BIMP17885",100740340,"LOC100740340","uncharacterized protein LOC100740340 isoform X1"
"8100","XP_012241052.1","BIMP17885",100740340,"LOC100740340","uncharacterized protein LOC100740340 isoform X3"
"8101","XP_012241053.1","BIMP24724",100748909,"LOC100748909","lon protease homolog, mitochondrial isoform X2"
"8102","XP_012241055.1","BIMP17872",100750076,"LOC100750076","uncharacterized protein LOC100750076"
"8103","XP_012241056.1","BIMP17872",100750076,"LOC100750076","uncharacterized protein LOC100750076"
"8104","XP_012241057.1","BIMP17872",100750076,"LOC100750076","uncharacterized protein LOC100750076"
"8105","XP_012241058.1","BIMP17864",100744896,"LOC100744896","TBC1 domain family member 10A"
"8106","XP_012241059.1","BIMP17871",100745015,"LOC100745015","uncharacterized protein LOC100745015"
"8107","XP_012241060.1","BIMP17862",100745135,"LOC100745135","histone-lysine N-methyltransferase SUV39H2 isoform X1"
"8108","XP_012241061.1","BIMP17862",100745135,"LOC100745135","histone-lysine N-methyltransferase SUV39H2 isoform X2"
"8109","XP_012241063.1","BIMP17861",105680759,"LOC105680759","uncharacterized protein LOC105680759"
"8110","XP_012241064.1","BIMP17875",100745497,"LOC100745497","bifunctional glutamate/proline--tRNA ligase isoform X1"
"8111","XP_012241065.1","BIMP17875",100745497,"LOC100745497","bifunctional glutamate/proline--tRNA ligase isoform X2"
"8112","XP_012241066.1","BIMP17860",100745617,"LOC100745617","serine/threonine-protein kinase D3 isoform X1"
"8113","XP_012241067.1","BIMP17860",100745617,"LOC100745617","serine/threonine-protein kinase D3 isoform X2"
"8114","XP_012241068.1","BIMP24733",100749029,"LOC100749029","gonadal protein gdl"
"8115","XP_012241069.1","BIMP17846",100748696,"LOC100748696","heparan-alpha-glucosaminide N-acetyltransferase isoform X1"
"8116","XP_012241071.1","BIMP17889",100748818,"LOC100748818","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase isoform X2"
"8117","XP_012241072.1","BIMP17889",100748818,"LOC100748818","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase isoform X2"
"8118","XP_012241073.1","BIMP17845",100748932,"LOC100748932","RNA 3\\'-terminal phosphate cyclase"
"8119","XP_012241074.1","BIMP17845",100748932,"LOC100748932","RNA 3\\'-terminal phosphate cyclase"
"8120","XP_012241076.1","BIMP17845",100748932,"LOC100748932","RNA 3\\'-terminal phosphate cyclase"
"8121","XP_012241077.1","BIMP17888",100748577,"LOC100748577","DNA polymerase beta isoform X2"
"8122","XP_012241079.1","BIMP17852",100747053,"LOC100747053","GA-binding protein subunit beta-1 isoform X1"
"8123","XP_012241080.1","BIMP17852",100747053,"LOC100747053","GA-binding protein subunit beta-1 isoform X2"
"8124","XP_012241082.1","BIMP17858",100740097,"LOC100740097","DNA polymerase zeta catalytic subunit isoform X2"
